"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000180909",-10.6327570796753,2.25090629858703e-27,1.08041836277858e-24,9.39299293936139
"ENSG00000249082",-6.67948242039065,4.29589806273788e-27,1.08041836277858e-24,9.32072709764066
"ENSG00000228495",5.48486625305077,3.51410255066108e-26,5.89197860994174e-24,7.99280014448973
"ENSG00000166002",-6.95575141058758,5.11462059658542e-25,6.43163540020616e-23,10.3608436227934
"ENSG00000250650",-10.2453137500889,7.63132382730837e-25,7.67711177027222e-23,8.61642710015754
"ENSG00000166188",-8.13985739351354,9.65356244984413e-25,7.86541769691923e-23,7.8015766006402
"ENSG00000274642",5.66563400508198,1.09459093197683e-24,7.86541769691923e-23,8.65599946646676
"ENSG00000215068",10.3335049773076,1.40707225639524e-24,8.8469668120851e-23,7.7272089598907
"ENSG00000198740",-6.06677992532344,1.94006005397505e-23,1.08427800794383e-21,8.92216419809497
"ENSG00000278492",7.75168314813477,4.66595126178533e-23,2.34697348467802e-21,7.34885248763817
"ENSG00000230818",9.02477800213601,5.38390077965023e-23,2.46191099287642e-21,8.84309478884362
"ENSG00000244025",-7.067738514511,9.54504233590746e-23,4.00096357913454e-21,9.5965822490137
"ENSG00000184260",4.83082966654266,1.64499297956455e-22,6.36485745169977e-21,7.60344377427532
"ENSG00000054267",2.97908782519922,2.52089687732567e-22,9.05722235210579e-21,9.45181660305119
"ENSG00000144644",6.16930169048853,7.494416818715e-22,2.5131277732091e-20,11.0578222772722
"ENSG00000013441",-8.27825322855123,1.8172971222341e-21,5.71312782802344e-20,5.50589713413784
"ENSG00000230680",-9.34713680891558,1.95159188635603e-21,5.77441599315931e-20,8.57368945449113
"ENSG00000152591",5.06712650730478,2.37332312825079e-21,6.63211963061192e-20,10.0315304665916
"ENSG00000227827",9.02253695254215,5.20475304491443e-21,1.3778898850484e-19,6.7830613868649
"ENSG00000258811",-6.50546684990518,8.58691782571459e-21,2.15960983316722e-19,10.8231528434556
"ENSG00000205745",-4.96522220095383,9.11944255840379e-21,2.18432362232243e-19,7.86079023160504
"ENSG00000173402",5.3956258762551,1.15294542639813e-20,2.63605249762846e-19,7.85497808176114
"ENSG00000212450",-9.7105714488432,1.25541485420523e-20,2.74553770289231e-19,8.05135071854485
"ENSG00000171488",-5.87279036507638,1.37063154706753e-20,2.80954933791352e-19,7.18043375518963
"ENSG00000251106",4.73471279101443,1.3963962912095e-20,2.80954933791352e-19,7.26469445141681
"ENSG00000247796",-4.4648243906763,1.83177287775534e-20,3.54377599042668e-19,8.49586094571258
"ENSG00000259460",8.04023741281803,2.05374063746216e-20,3.78690694254078e-19,9.82630560298943
"ENSG00000242252",5.94996196091269,2.1330771691174e-20,3.78690694254078e-19,6.51391158787899
"ENSG00000081148",-8.53103438985599,2.20787105512875e-20,3.78690694254078e-19,8.69083911660749
"ENSG00000135447",-6.74828105363127,2.25859260986527e-20,3.78690694254078e-19,9.77176081365657
"ENSG00000260494",7.23473272643886,2.89693758930858e-20,4.70051486265231e-19,7.131370492562
"ENSG00000169248",-10.4067924261018,3.02376731758943e-20,4.75298425233589e-19,7.73401461617236
"ENSG00000254268",-7.64619178056595,3.4655223704937e-20,5.28229621926767e-19,8.1702568877149
"ENSG00000104313",5.58900366060144,3.65163402520465e-20,5.40227033728805e-19,8.97964262565169
"ENSG00000232579",11.0475681735043,5.46061472532101e-20,7.84768344810419e-19,8.72096965999055
"ENSG00000226864",-3.43041268291049,5.73296394095814e-20,8.0102246175054e-19,9.71785220439417
"ENSG00000212123",-7.96587094149642,6.93941227923275e-20,9.02693271251331e-19,7.35607613813861
"ENSG00000212316",10.1204274397319,6.96958131779604e-20,9.02693271251331e-19,8.78376573220147
"ENSG00000267190",6.82789544472017,7.04697473749457e-20,9.02693271251331e-19,8.94202847158073
"ENSG00000280798",6.39761047505453,7.17847531810203e-20,9.02693271251331e-19,8.32559281392125
"ENSG00000141338",3.50280872779731,9.24285994532582e-20,1.13394111036558e-18,11.0603134992287
"ENSG00000104969",6.37067508642746,9.61326571198946e-20,1.15130301265017e-18,10.2041397731387
"ENSG00000213621",11.2937067310819,1.05207590202163e-19,1.23068413655088e-18,6.09076291535208
"ENSG00000271321",8.69339668520917,1.26870288466734e-19,1.45035807042652e-18,8.71052681566001
"ENSG00000276653",4.90065729084429,1.48989569784077e-19,1.66537230225313e-18,9.03279994743764
"ENSG00000183643",-10.0916936655678,1.66524386742881e-19,1.82090796807976e-18,10.0761771557018
"ENSG00000252743",-9.99804616922175,2.16774573328255e-19,2.31994915710877e-18,5.90897080036124
"ENSG00000235522",-5.46775288080077,2.57418878689925e-19,2.69753533293817e-18,9.58030437307915
"ENSG00000172738",-8.58724451268712,2.68217289087302e-19,2.75333257981455e-18,7.07900357000455
"ENSG00000254497",5.0203649552259,2.74922257714597e-19,2.76571791260885e-18,9.41024337977256
"ENSG00000246130",4.75838236807879,2.82838914468886e-19,2.78956811721274e-18,9.55500332428355
