"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000177565",9.0018690722342,2.91440094989906e-25,9.68743538534654e-23,8.44633948208667
"ENSG00000249082",4.73853921448839,3.85186297628093e-25,9.68743538534654e-23,9.32072709764066
"ENSG00000250650",5.71743306715597,6.04076347134967e-25,1.01283467536296e-22,8.61642710015754
"ENSG00000180909",3.88494363034823,9.53063848813158e-25,1.19847778988255e-22,9.39299293936139
"ENSG00000137831",7.43402449880773,5.17121163151594e-24,5.20223890130504e-22,10.8982998913173
"ENSG00000214100",-11.7764301053251,3.96601449716872e-23,3.32484215345978e-21,7.96294382105899
"ENSG00000163848",8.90368811384094,7.10596052341013e-23,5.106140204679e-21,10.902397256908
"ENSG00000205336",-7.48634691897439,9.47404883823784e-23,5.95680820704204e-21,10.1589723132241
"ENSG00000249425",-5.93398334732282,1.31597270388258e-22,7.35482522281042e-21,10.3927806589562
"ENSG00000259460",-9.04616847097369,1.91607989234807e-22,9.63788185851082e-21,9.82630560298943
"ENSG00000227940",-7.70332516569014,2.46498941444486e-22,1.07712855724082e-20,7.20979686617233
"ENSG00000254497",-6.19499366012346,2.56969039500791e-22,1.07712855724082e-20,9.41024337977256
"ENSG00000247796",7.00960814166368,1.07904524368332e-21,4.14495718085519e-20,8.49586094571258
"ENSG00000226864",3.89072626803718,1.15366601455214e-21,4.14495718085519e-20,9.71785220439417
"ENSG00000244025",4.42049548983518,1.63575541460733e-21,5.48523315698324e-20,9.5965822490137
"ENSG00000230680",10.0616240162437,2.03247313216194e-21,6.3895874092341e-20,8.57368945449113
"ENSG00000266321",-6.78228614294303,2.9036793094298e-21,8.59147466260699e-20,7.1077271379439
"ENSG00000169248",6.05040487519923,3.89399141108499e-21,1.08815426654208e-19,7.73401461617236
"ENSG00000253311",-4.45768451378615,4.21775457609327e-21,1.11659502724995e-19,10.6837221736639
"ENSG00000171488",7.23331828428364,5.76736912687348e-21,1.45049333540868e-19,7.18043375518963
"ENSG00000264662",-6.75257700404702,6.81583371384411e-21,1.63255445622076e-19,8.3472417727288
"ENSG00000162711",-8.1554795405705,7.33916180067283e-21,1.67799926624474e-19,6.8623324359967
"ENSG00000124256",-9.60423207950348,9.62640413013637e-21,2.10525272932982e-19,9.86967185963009
"ENSG00000252091",6.05284357335185,1.06553529088294e-20,2.23318438047551e-19,8.71552037084578
"ENSG00000283611",6.23954076705032,1.66229115425432e-20,3.3445298023597e-19,7.41435655813611
"ENSG00000211820",4.4719475671676,1.87730233432249e-20,3.61044350010537e-19,9.77984414382013
